sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
TOA06,TOA,Annual,6,342,1 year,7,10,420,420,39.48277848,0.974672502,4.8047833,69.24400953,25,0.978190886,0.795460379,0.094006615,0.288058357,0.441123217,0.125583896,0.173135733,3737,0.125583896,0.025327498,0.227744732,0.983442456,2.061189247,0.200591457,0.61971973
TOA07,TOA,Annual,7,342,1 year,7,9,440,440,45.65971096,0.978098854,4.595312585,65.91489075,16,0.909140131,0.754966758,0.10377207,0.234109057,0.352140888,0.067003987,0.130040632,3496,0.067003987,0.021901146,0.268552591,0.987316111,2.060708602,0.154707145,0.60200092
TOA08,TOA,Annual,8,342,1 year,5,6,378,378,24.78930755,0.959660027,4.239224579,56.52993188,11,0.963680404,0.714288147,0.065580179,0.24060537,0.357247601,0.110752712,0.21299958,5013,0.110752712,0.040339973,0.181185516,0.98952804,2.059663739,0.139009787,0.677750039
TOA09,TOA,Annual,9,342,1 year,6,8,386,386,30.80353266,0.967536191,4.438445753,61.88842824,14,0.813723811,0.74522615,0.079801898,0.273256488,0.368632482,0.122498734,0.191521023,3869,0.122498734,0.032463809,0.271181611,0.988017003,2.061176035,0.170719352,0.524886018
TOA10,TOA,Annual,10,342,1 year,6,8,319,319,31.02819141,0.967771244,4.27677923,49.60704657,11,0.79702837,0.741827834,0.097267058,0.261955757,0.36420317,0.09852922,0.174085644,3028,0.09852922,0.032228756,0.311857347,0.990360702,2.060804936,0.130352727,0.503579331
TOA11,TOA,Maintenance,11,46,2 months,7,9,346,346,29.52052163,0.96612526,4.393232622,54.67451748,13,0.997672435,0.751437378,0.085319427,0.269378346,0.387691208,0.13003663,0.193288854,3976,0.13003663,0.03387474,0.319400837,0.988697779,2.061138355,0.147337781,0.482371795
TOA12,TOA,Maintenance,12,46,2 months,10,11,335,335,18.74619168,0.946655832,4.007480219,49.41645305,8,0.927244291,0.689265609,0.055958781,0.256845747,0.339629207,0.149117552,0.257983503,6472,0.149117552,0.053344168,0.091147873,0.991215658,2.060749727,0.12946408,0.751923874
TOA13,TOA,Maintenance,13,46,2 months,8,10,341,341,15.82155431,0.936795085,3.840823967,49.98094639,6,0.632335288,0.658590769,0.04639752,0.253302533,0.316783777,0.162570064,0.301585571,7454,0.162570064,0.063204915,0.091928202,0.991861233,2.061271338,0.145405771,0.833962182
TOA14,TOA,Maintenance,14,46,2 months,9,12,414,414,11.89533397,0.915933424,3.716280884,59.81072929,4,0.959061281,0.616721464,0.028732691,0.269130308,0.297740951,0.199095695,0.369824585,12065,0.199095695,0.084066576,0.251208766,0.991217284,2.061134051,0.168187594,0.660159409
TOA15,TOA,Maintenance,15,46,2 months,7,8,876,876,50.0944186,0.980037696,5.084054857,123.2478522,28,0.98813118,0.750373454,0.057185409,0.226318752,0.341794487,0.101075183,0.146356546,15201,0.101075183,0.019962304,0.178452455,0.976379154,2.05918452,0.247371886,0.653208593
TOA16,TOA,Maintenance,16,46,2 months,8,9,544,544,17.58648697,0.94313816,3.999270379,72.17842652,8,0.783402074,0.634910716,0.032328101,0.209720776,0.267940914,0.186615139,0.256702036,25255,0.186615139,0.05686184,0.196243313,0.990182266,2.060662482,0.164824284,0.664794727
TOA17,TOA,Maintenance,17,46,2 months,7,9,376,376,50.3385898,0.980134525,4.576872289,56.14224115,18,0.899843868,0.771870053,0.133879228,0.2293479,0.367602495,0.052960599,0.09953775,2406,0.052960599,0.019865475,0.290909091,0.988217122,2.059272237,0.156394453,0.569139335
TOA18,TOA,Maintenance,18,46,2 months,6,7,313,313,20.30039782,0.950739882,4.051263829,49.41740682,9,0.994275485,0.705033166,0.064857501,0.270494555,0.346417412,0.164177493,0.252024328,4562,0.164177493,0.049260118,0.141217116,0.991361427,2.060853648,0.124806564,0.669017886
TOA19,TOA,Maintenance,19,46,2 months,8,10,374,374.03125,23.07862668,0.956669865,4.176672216,56.19031456,10,0.916361815,0.705012133,0.061707558,0.243702006,0.334247268,0.152615413,0.226126622,6658,0.152615413,0.043330135,0.199078531,0.990303967,2.060775697,0.13954981,0.588020905
TOA20,TOA,Maintenance,20,46,2 months,7,9,342,342,35.7251248,0.972008495,4.361479519,51.84774995,14,0.867640513,0.747492886,0.104459429,0.231717826,0.343758928,0.093016509,0.173004905,3527,0.093016509,0.027991505,0.140988449,0.990112966,2.060199147,0.133973311,0.717179176
