obj_id,species,speciesMatched,uuid,ifungorum_number,trait_name,value
Treseder_etal_2016_1788,Oidiodendron_pilicola,Oidiodendron pilicola,5bd6c077-95dd-4420-9d75-6561250ee3cd,335322,Cohens_d_Cellulose,0
Treseder_etal_2016_1789,Oidiodendron_pilicola,Oidiodendron pilicola,5bd6c077-95dd-4420-9d75-6561250ee3cd,335322,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1790,Oidiodendron_pilicola,Oidiodendron pilicola,5bd6c077-95dd-4420-9d75-6561250ee3cd,335322,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1792,Oidiodendron_rhodogenum,Oidiodendron rhodogenum,1cb1adb7-36b9-11d5-9548-00d0592d548c,276432,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1794,OTUkt0344,OTUkt0344 sp.,NA,NA,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1795,OTUkt0345,Bacidia hostheleoides,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1798,Oidiodendron_tenuissimum,Oidiodendron tenuissimum,467acb99-177f-4fa8-b188-7bafb56c46cf,301950,Cohens_d_Cellulose,0
Treseder_etal_2016_1799,Oidiodendron_tenuissimum,Oidiodendron tenuissimum,467acb99-177f-4fa8-b188-7bafb56c46cf,301950,Cohens_d_Cellulose,0
Treseder_etal_2016_1800,Oliveonia_pauxilla,Oliveonia pauxilla,806de252-466d-4497-a19e-ec3ae0540536,301974,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1801,Ophiognomonia_maximowiczianae,Ophiognomonia maximowiczianae,c5ae1f35-d111-44c3-9500-7e9425486a7e,564094,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1803,Ascomycota_cf_Orbiliales_OTU_028,Ascomycota cf Orbiliales OTU 028,NA,NA,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1804,Otidea_leporina,Otidea leporina,1cb1972e-36b9-11d5-9548-00d0592d548c,164037,Cohens_d_Cellulose,0
Treseder_etal_2016_1805,Otidea_leporina,Otidea leporina,1cb1972e-36b9-11d5-9548-00d0592d548c,164037,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1809,OTUkt3126,Bryoria simplicior,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1810,OTUkt3127,Byssolecania variabilis,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1814,Parmotrema_reticulatum,Parmotrema reticulatum,bde67562-dd31-4dac-92c7-ca623b1eeeb7,357464,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1815,Parmotrema_reticulatum,Parmotrema reticulatum,bde67562-dd31-4dac-92c7-ca623b1eeeb7,357464,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1818,Peltigera_aphthosa,Peltigera britannica,b19bcc3c-7bc6-442b-9995-2109fea3eeb4,433734,Cohens_d_Cellulose,0
Treseder_etal_2016_1822,Peltigera_chionophila,Peltigera didactyla extenuata,49d7c839-a355-4aec-9b1b-7ad6351476c6,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1825,Peltigera_leucophlebia,Peltigera leucophlebia,d6b31a7a-bb28-4d3e-b52b-d87a5280b62d,399318,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1826,Peltigera_leucophlebia,Peltigera leucophlebia,d6b31a7a-bb28-4d3e-b52b-d87a5280b62d,399318,Cohens_d_Cellulose,0.894427190999916
