"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"45","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unidentified","9d726d0f186df0f2bfe1013564f706c9"
"46","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA,"f1d38cc534e5b52b88ed054d4a4f93cf"
"47","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","860e5b63bbc7c145e0580e189a8067d0"
"48","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_diasemospermus","447f6b24683be9bdebd9425f34086ea0"
"49","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Rasamsonia","unidentified","b1ae32bade9c3127020019193b75d801"
"50","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"911e78e4d4bee8d21a7658c8bbffd2c3"
"51","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_vernus","6221c184510765a5e0b76dd2d672cfc1"
"52","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unidentified","558f4165644e15c33a1ccd1b3bac7c3f"
"53","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_equestre","74637b4c8eb9aecb46e756a2797ead85"
"54","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe_conica","680f4625b74d66f2ecc61e84366b3497"
"55","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","unidentified","7266486b2981eff38905676fb8cbad01"
"56","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"0b07a945a484c663245b501b5898d065"
"57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"f35fd993aeeb5fe4bd03d023eccd4588"
"58","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"430687db9785c2aa2481a9dc866f62b5"
"59","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_foetens","1f4477610b9e00b42a869bffff16734c"
