ASVs,Genus,guild
853c64f7e64c8b558231d0f3fd576b6b,Sebacina,ectomycorrhizal
4c1fa18bfdb7165b96410b05d8b8a87e,unidentified,NA
b834c3a3b5c14b167d3bdcf5b0bf05d0,NA,NA
5e3b407680f937a8d6ce0871af9df342,NA,NA
5372f19a565140594a136a7b50134ec0,NA,NA
8316cc434c81506c8324503599aca13b,Amanita,ectomycorrhizal
542f02bfd89f47522d9cd264fc4df9ef,NA,NA
2f94b12a4ad8991294c7fe156866e06c,Pseudeurotium,dung_saprotroph
da0dd8fc5826074ae4173798fa2ed85d,NA,NA
6f53d42395656bcf9e2cf4a2bd142398,NA,NA
3d02ea8c79d32c17103c84fc20fc0f74,unidentified,NA
f1ded70b42bb9ba094475a457c778ed8,Curvularia,plant_pathogen
ef75c19926bb5272047c5b65ca5ad05b,Aureobasidium,sooty_mold
09cb7663fdaca54a2579c212f77a93a0,unidentified,NA
108be8bfadb76149fac3dd9ea79b1af3,Anteaglonium,wood_saprotroph
89a50f1a67d6293faf74c05fe1a2bb27,NA,NA
78276dd22adc716763e97c87406c5130,Inocybe,ectomycorrhizal
a5538fad1f947a9200a2066f9b795cb1,NA,NA
e338bf66a828042a1bf751508cd559db,NA,NA
8c1bc4b8d94624463ec2ea7673f4a022,Dinemasporium,litter_saprotroph
379cf865759d566b7b25379bc31fa5ba,Russula,ectomycorrhizal
ece1b45e70f460741a76b29e8e7d6aeb,NA,NA
2e6595802ae57bdb0acb681afd12bc1f,NA,NA
3156fc528ee1d2100eedea3460f4bcda,Russula,ectomycorrhizal
138ae5c932ca55a4cf7e44fd98b1230b,Paraphoma,plant_pathogen
dbeb8739e2c4ae55ed71647cfb0c556c,NA,NA
b0d8f6b58236e58460e48835b2d74bd2,Pestalotiopsis,plant_pathogen
9cdceb1e05424636ed6b67aaab00bf3f,NA,NA
6c597e23122deb7334c928a0e6bdbf07,unidentified,NA
0124f021a7878b38ebf42bef2b9a5206,Rhizosphaera,plant_pathogen
a57042bf3bd0d3f1f11c34c6a7b542d4,NA,NA
08c9b1d6165d01e865a768d489a93718,unidentified,NA
fdd6fa93380029c94e26174bca2de79b,NA,NA
77029289af6665f6d55e0c8e8927f935,Cortinarius,ectomycorrhizal
0fb4e17feef335e0df38735732d576e9,Rasamsonia,soil_saprotroph
ddec79c2c134887800e8f8a7af73d765,NA,NA
46cfcf382250b61e20bff03c86645284,Cenococcum,ectomycorrhizal
82b6200a09e6ba49e7e0243269c68024,NA,NA
6f9b752739ef4a97351b9b6afd8c350f,NA,NA
38b7b981de31cfd28f73d5c6b2ca13a6,Scleroderma,ectomycorrhizal
6de56ff7bc6091fc03857ea62ca24bcf,NA,NA
389bc32ec95cca698c41c107eb7c5f18,Russula,ectomycorrhizal
7e9534a2f92a39ca9e845ede8f53b040,NA,NA
2e3a6c0a33347aee8e8426c5c37ec439,NA,NA
ddc4405f91f366b17e3ed92952ac10df,Lepiota,litter_saprotroph
21de020f65813d87720ceef391c77975,Papiliotrema,mycoparasite
9f837333c8fc61f32eef8e5053651531,unidentified,NA
4e9acaf9de540c44005cec20e94ceada,unidentified,NA
ca9037164089ea3977d219ee2f713270,unidentified,NA
2f6306a752b13451c3492eca5bcb4f22,Rhizopogon,ectomycorrhizal
68def33f4befc0d7bf9f5eddaea8f1c8,Conocybe,soil_saprotroph
ff1fcb5fba926fb448f8f8f1935da6db,Russula,ectomycorrhizal
5d28e486ac731666e28df182069acff5,Atrocalyx,wood_saprotroph
5bd1b01b207b047dea41838d196c4757,Spegazzinia,wood_saprotroph
45d7608a52789c62a806284c25ce8342,Clavulinopsis,soil_saprotroph
6a5876dd2e07d662df86b56b5c2d9194,NA,NA
bd2509c72e2be8c45753b9fb4aef161e,Pezicula,root_endophyte
8e04d3576d656ed51202b36679be2328,unidentified,NA
34c5b31243572e4fe51432852305b0f0,Amphinema,ectomycorrhizal
9c55e7d7d3d57c115fc622b2e2260f87,NA,NA
0ce294f0aa788e24a40c240b3225a18c,NA,NA
e9cc8ed7cdc78549621c774e9bdd3966,unidentified,NA
0f06b6fae5bf0723c205c0c22e0320db,Amphinema,ectomycorrhizal
acbbfc7066dab378196cea8fa78f304a,NA,NA
640d6bce8fcca15bbe9b526b00540806,unidentified,NA
65b091085f4868930815a10fe1c91711,NA,NA
91ff9ec611dc09e8c4bfe4653ddc4637,Serendipita,root_endophyte
d2b6da1f00fd41362719de9852197a5e,NA,NA
9097ce53f176659923151e13ddd4e3e4,Amphinema,ectomycorrhizal
c72b042914aef74baa87ee3638519839,Russula,ectomycorrhizal
90f66cc6ebf68eb4b53957995795d2f1,Antennariella,sooty_mold
622611ad4e25aaa28b9327c926e84d17,NA,NA
372e59b5a81d08bc0d05129e11c7d9bd,Neptunomyces,NA
736e68b7b931d025f625a41446ef0c2f,Coniochaeta,unspecified_saprotroph
0fd6eb01983b49ff299e850c5f597734,Hygrocybe,soil_saprotroph
73b1927b09552a5d75ea0d1f282b93b0,NA,NA
f6b85b2c53d0b376b8d794055b10f6d3,Periconia,plant_pathogen
2d9b17653e2d6bbecec2ece3bf26b07e,Russula,ectomycorrhizal
7f475609783eda3cc7f52fdbdff7d6c6,Rhizopogon,ectomycorrhizal
24b7438f1ed4cff93b628f0917942fba,NA,NA
f8b70052858936ed6a7ebf3ea7ab5e63,Lophiostoma,wood_saprotroph
8210ef755c55c6508098b0c717fa3969,unidentified,NA
0270b2db5e75705930b10ec68f1b395e,Calyptella,litter_saprotroph
d7f308d6caea14d9393fcc96871415d4,Acrocalymma,wood_saprotroph
95d9d88ad74ad0c3ca60a2e6671654b5,Serendipita,root_endophyte
e82744c9ab2747401edf39896be83590,Russula,ectomycorrhizal
f812c42709e75512aaea0e95dff695bb,NA,NA
ac67e39cbbe718d375ac28ec6c2c5f43,NA,NA
32ea098ea5b6f7f7ba1291e70bfddc90,Schizothecium,dung_saprotroph
4ca6ba3343f571236edc6296e42f8954,Phaeosphaeria,litter_saprotroph
f20ccb93bfcf3008afcc36df6f64ce6f,Periconia,plant_pathogen
eaaace3eaf95d6d4013e2fc7a11fc29f,unidentified,NA
61a40feaa892fa08b94fe71254fdd625,NA,NA
e64504f9eb92c2b826b522d72109000e,Talaromyces,unspecified_saprotroph
93396bd2a072e732ab4063e0cfb8cee8,Phialocephala,soil_saprotroph
753a0ff667755f8cab40fc27a0daa181,Cortinarius,ectomycorrhizal
df2c587c28498e10301fea5aac83fef1,NA,NA
be9c6edf623ea98ff2e84603de2bf124,Fusarium,plant_pathogen
fb96431fb20de233ecadb28d3db7f982,NA,NA
21da10ad083c8a44125e1b25a5faf6f2,Inocybe,ectomycorrhizal
b3bb660015995b01833d5fbcb5b1d252,Talaromyces,unspecified_saprotroph
c6246356f526609ceda6c82a1e0e53bf,Cenococcum,ectomycorrhizal
6d39dc790696552b9ce8f868bb11f0ac,Laccaria,ectomycorrhizal
6603b1e9405876442e5be61bbe5b0130,Amphinema,ectomycorrhizal
808958a83d2c59bae6822c9774f7881a,NA,NA
2f5b0c0daff730c78d11533741430b2f,NA,NA
3f612ce33b570f918d97876a3059dd19,Trichoderma,mycoparasite
d78efacc0e0eae9174ba4f248d15f6c2,Inocybe,ectomycorrhizal
bbbca0181fcd62039c9f052a7716d41c,Russula,ectomycorrhizal
c64d429b8d317c02a902b7c5125e2d32,Lachnellula,wood_saprotroph
f74b9e95e7f7ea193257db79bedd5d91,unidentified,NA
2b8b728cb39f530f04299123b2d8a386,NA,NA
3e37db1cd99fcac69c063b8572a6664b,Cenococcum,ectomycorrhizal
7b6e938b8ed8d7969801dc0bfd5a688a,Paraphaeosphaeria,wood_saprotroph
4a2cc93be4c18ee1899ce3df1218ba8c,unidentified,NA
7185e94d1f3a21cb34166a68edeaf219,unidentified,NA
0134bb5f867521577995a6f97819393f,NA,NA
7ff6cf83549a84ce9734dc5b0b592e47,unidentified,NA
0efa1b392e73e0c99fc01ceb6d55a607,Geoglossum,soil_saprotroph
786462b8625daa36e4d7e28fc7a9acbb,Acremoniopsis,soil_saprotroph
ea0b4540d1545d99962852021f8b26de,Geastrum,litter_saprotroph
446f844a9c8b71bd04f4ca2c374d54ce,Inocybe,ectomycorrhizal
23ca5c80aaebc563b63bb893426eeb8c,Talaromyces,unspecified_saprotroph
ea249147ee15f1d8d2acf35f490dddfb,Phaeosphaeria,litter_saprotroph
