sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
TOA11,TOA,Maintenance,11,46,2 months,7,9,1500,1520.25,241.6775094,0.995862255,6.49675308,290.9998447,161,0.701788481,0.88835735,0.16111834,0.43106467,0.567983338,0.024740623,0.046288907,1240,0.024740623,0.004137745,0.329569034,0.967840937,2.027821807,0.636771748,0.606284916
TOA12,TOA,Maintenance,12,46,2 months,10,11,1311,1329.775862,240.5560076,0.995842964,6.392190386,247.7942288,142,0.788051229,0.8904576,0.183490471,0.425972,0.56414535,0.029447828,0.047512977,1441,0.029447828,0.004157036,0.287611885,0.972061671,2.016148258,0.596967344,0.678199207
TOA13,TOA,Maintenance,13,46,2 months,8,10,1452,1470.867347,226.1073001,0.995577321,6.397817437,277.5551704,132,0.72529326,0.878736921,0.155721281,0.413983533,0.544889312,0.022192099,0.044132455,1146,0.022192099,0.004422679,0.353989156,0.97082177,2.030704916,0.594209915,0.586405887
TOA14,TOA,Maintenance,14,46,2 months,9,12,1360,1376,207.4498399,0.995179558,6.353734169,261.4246465,131,0.697267682,0.880599147,0.152536647,0.445221316,0.557207388,0.026971525,0.051508415,1274,0.026971525,0.004820442,0.358674712,0.971609542,2.037364166,0.591849264,0.586154335
TOA15,TOA,Maintenance,15,46,2 months,7,8,1273,1311.095238,220.997377,0.995475059,6.343999882,247.223841,133,0.693178665,0.887380487,0.173603595,0.443025871,0.567001175,0.026259239,0.047087161,1112,0.026259239,0.004524941,0.355822136,0.972661592,2.033223258,0.590998182,0.585425178
TOA16,TOA,Maintenance,16,46,2 months,8,9,1135,1169.027778,193.3434441,0.994827857,6.228660753,219.058655,121,0.864473417,0.885458808,0.170346647,0.442722892,0.569295676,0.027017263,0.05266689,1047,0.027017263,0.005172143,0.362552577,0.975507752,2.030022202,0.572239569,0.564111166
TOA17,TOA,Maintenance,17,46,2 months,7,9,1200,1230.857143,170.7060515,0.994141977,6.187023056,227.1757033,109,0.715553514,0.872631313,0.142255043,0.428606976,0.548425504,0.03174175,0.06199982,1412,0.03174175,0.005858023,0.372875641,0.975646685,2.026838175,0.560763421,0.56262926
TOA18,TOA,Maintenance,18,46,2 months,6,7,1437,1463.414286,244.9460347,0.995917468,6.443492043,274.8972536,151,0.726506999,0.88627438,0.170456531,0.420931047,0.559850316,0.023262205,0.045739188,1185,0.023262205,0.004082532,0.336938812,0.969882544,2.01408264,0.622327791,0.615928231
TOA19,TOA,Maintenance,19,46,2 months,8,10,1452,1472.166667,296.1516083,0.996623351,6.570681686,286.3992137,183,0.754810688,0.902479736,0.203961163,0.440744867,0.590687225,0.023535126,0.041042964,1066,0.023535126,0.003376649,0.282002031,0.966926505,2.028962912,0.669647194,0.652845852
TOA20,TOA,Maintenance,20,46,2 months,7,9,1483,1511.890625,235.2510907,0.995749223,6.488186983,290.6541543,160,0.695415643,0.888570918,0.158631889,0.444713055,0.566639876,0.028004717,0.053124737,1330,0.028004717,0.004250777,0.313758107,0.968158161,2.034252857,0.651014908,0.621115135
