"","ASVs","Genus.x","guild.x","DL01","DL02","DL03","DL04","DL05","DL06","DL07","DL08","DL09","DL10","DL11","DL12","DL13","DL14","DL15","DL16","DL17","DL18","DL19","DL20","FOJ01","FOJ02","FOJ03","FOJ04","FOJ05","FOJ06","FOJ07","FOJ08","FOJ09","FOJ10","FOJ11","FOJ12","FOJ13","FOJ14","FOJ15","FOJ16","FOJ17","FOJ18","FOJ19","FOJ20","TOA01","TOA02","TOA03","TOA04","TOA05","TOA06","TOA07","TOA08","TOA09","TOA10","TOA11","TOA12","TOA13","TOA14","TOA15","TOA16","TOA17","TOA18","TOA19","TOA20","Genus","guild.y"
"413","cf5563616643018ae1206b4af062f124",NA,NA,0,34,0,0,0,0,0,0,139,250,0,0,0,0,0,0,0,0,0,0,0,317,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"414","1d01e692ee2a25bbe9cf36115f88da19","Suillus","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suillus","ectomycorrhizal"
"415","33f0705e10224f04a8198ab4d4d1664d","Amphinema","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,645,7,0,0,"Amphinema","ectomycorrhizal"
"416","d4da4ae374139ccbbf9e2bc54d5f5a6a","Hygrophorus","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hygrophorus","ectomycorrhizal"
"417","614bc8ea2559fe36bc170471eae740b4","Russula","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Russula","ectomycorrhizal"
"418","2a68457ad9119abca8281aaead38451c","Neoroussoella","wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,45,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,923,0,0,11,17,0,"Neoroussoella","wood_saprotroph"
"419","1be056b74e4fd5be065fc438a05951a5","Periconia","plant_pathogen",0,0,18,0,14,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,15,18,17,69,22,72,36,54,33,260,0,33,61,78,24,94,106,0,10,0,33,0,0,0,8,0,15,0,10,13,0,0,0,0,21,0,0,0,0,0,"Periconia","plant_pathogen"
"420","68b1558f14a5a90e585966db457bf035","unidentified",NA,283,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,2,862,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unidentified",NA
"421","e22c0cac0730a9d2a8e45cf4a1688c15","Inocybe","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inocybe","ectomycorrhizal"
"422","b2b5bf547ab378b7be69535342a68165","Sistotrema","litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,11,0,"Sistotrema","litter_saprotroph"
